relative_time,S1_EDA,S2_EDA,S3_EDA,S4_EDA,S5_EDA,S6_EDA,S7_EDA,S8_EDA,S9_EDA,S10_EDA
14.75,0.023065,0.019221,0.003845,0.0,0.0,0.001281,0.0,0.003845,0.01794,0.016657
15.0,0.023065,0.019221,0.005126,0.0,0.0,0.001281,0.0,0.003845,0.015377,0.01922
15.25,0.025628,0.01794,0.005126,0.0,0.0,0.0,0.0,0.003845,0.01794,0.020501
15.5,0.023065,0.019221,0.003845,0.0,0.0,0.0,0.0,0.002563,0.015377,0.01922
15.75,0.023065,0.01794,0.002563,0.0,0.0,0.0,0.0,0.005126,0.016658,0.01922
16.0,0.024347,0.016658,0.003845,0.0,0.0,0.0,0.0,0.005126,0.016658,0.017939
16.25,0.024347,0.019221,0.003845,0.0,0.0,0.0,0.0,0.003845,0.01794,0.01922
16.5,0.024347,0.016658,0.003845,0.0,0.0,0.001281,0.0,0.002563,0.015377,0.01922
16.75,0.021784,0.019221,0.001282,0.0,0.0,0.001281,0.0,0.002563,0.01794,0.017939
17.0,0.021784,0.01794,0.001282,0.0,0.0,0.001281,0.0,0.002563,0.016658,0.017939
17.25,0.023065,0.019221,0.003845,0.0,0.0,0.002562,0.001281,0.006408,0.01794,0.01922
17.5,0.024347,0.019221,0.001282,0.0,0.0,0.0,0.0,0.003845,0.015377,0.01922
17.75,0.024347,0.016658,0.001282,0.0,0.0,0.0,0.0,0.003845,0.01794,0.01922
18.0,0.024347,0.019221,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
18.25,0.021784,0.016658,0.001282,0.0,0.0,0.0,0.0,0.002563,0.01794,0.016657
18.5,0.023065,0.01794,0.002563,0.0,0.0,0.0,0.0,0.003845,0.016658,0.017939
18.75,0.023065,0.019221,0.001282,0.0,0.0,0.0,0.0,0.003845,0.01794,0.016657
19.0,0.024347,0.016658,0.002563,0.0,0.0,0.0,0.0,0.003845,0.016658,0.01922
19.25,0.024347,0.01794,0.002563,0.0,0.0,0.001281,0.0,0.003845,0.01794,0.01922
19.5,0.023065,0.016658,0.002563,0.0,0.0,0.001281,0.0,0.002563,0.016658,0.01922
19.75,0.021784,0.016658,0.002563,0.0,0.0,0.001281,0.0,0.002563,0.01794,0.017939
20.0,0.021784,0.019221,0.003845,0.0,0.0,0.0,0.001281,0.003845,0.016658,0.017939
20.25,0.023065,0.016658,0.002563,0.0,0.0,0.001281,0.0,0.003845,0.016658,0.01922
20.5,0.021784,0.016658,0.0,0.0,0.0,0.0,0.0,0.002563,0.014096,0.016657
20.75,0.024347,0.019221,0.001282,0.0,0.0,0.0,0.001281,0.003845,0.019221,0.020501
21.0,0.023065,0.016658,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
21.25,0.023065,0.01794,0.002563,0.0,0.0,0.001281,0.001281,0.002563,0.016658,0.01922
21.5,0.021784,0.016658,0.001282,0.0,0.0,0.0,0.001281,0.002563,0.01794,0.017939
21.75,0.023065,0.01794,0.001282,0.0,0.0,0.001281,0.0,0.003845,0.016658,0.01922
22.0,0.023065,0.016658,0.003845,0.0,0.0,0.001281,0.001281,0.002563,0.01794,0.01922
22.25,0.024347,0.016658,0.002563,0.0,0.0,0.001281,0.0,0.003845,0.016658,0.017939
22.5,0.025628,0.01794,0.002563,0.0,0.0,0.0,0.0,0.003845,0.01794,0.017939
22.75,0.023065,0.01794,0.002563,0.0,0.0,0.001281,0.0,0.003845,0.016658,0.017939
23.0,0.023065,0.019221,0.002563,0.0,0.0,0.001281,0.0,0.002563,0.015377,0.017939
23.25,0.024347,0.016658,0.002563,0.0,0.0,0.0,0.001281,0.002563,0.016658,0.01922
23.5,0.024347,0.016658,0.003845,0.0,0.0,0.0,0.0,0.001282,0.01794,0.020501
23.75,0.024347,0.01794,0.003845,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
24.0,0.023065,0.016658,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
24.25,0.021784,0.01794,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
24.5,0.023065,0.01794,0.001282,0.0,0.0,0.002562,0.0,0.001282,0.015377,0.017939
24.75,0.024347,0.015377,0.002563,0.0,0.0,0.0,0.001281,0.002563,0.016658,0.01922
25.0,0.024347,0.01794,0.002563,0.0,0.0,0.0,0.0,0.002563,0.01794,0.017939
25.25,0.024347,0.015377,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
25.5,0.021784,0.016658,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
25.75,0.023065,0.016658,0.003845,0.0,0.0,0.0,0.0,0.001282,0.01794,0.01922
26.0,0.021784,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
