relative_time,S1_HR,S2_HR,S3_HR,S4_HR,S5_HR,S6_HR,S7_HR,S8_HR,S9_HR,S10_HR
0.0,97.0,85.0,95.0,73.0,82.0,115.0,60.0,98.0,111.0,127.0
1.0,74.0,86.5,78.0,77.5,85.5,91.0,79.0,87.0,81.5,112.5
2.0,86.33,88.0,88.0,80.67,87.33,103.0,73.0,94.33,91.0,118.0
3.0,78.5,114.75,95.0,82.0,86.25,119.75,85.0,88.25,85.0,105.0
4.0,86.8,113.6,85.6,83.8,91.4,120.6,82.2,95.2,94.8,113.6
5.0,81.67,111.0,90.33,83.67,90.0,120.67,88.0,114.67,94.0,115.33
6.0,88.43,109.43,92.29,84.57,93.14,120.86,92.14,124.29,93.43,116.57
7.0,91.75,108.12,93.75,85.5,96.12,121.0,95.62,131.38,93.0,117.25
8.0,87.44,106.89,94.89,85.67,98.33,121.0,98.33,136.89,92.89,118.11
9.0,84.7,105.9,96.1,85.7,100.1,121.1,100.5,141.5,92.5,118.6
10.0,83.09,105.0,97.0,86.0,101.64,121.27,102.27,145.18,97.82,119.18
11.0,81.83,104.25,97.5,86.42,103.08,121.5,103.75,148.17,97.25,119.67
12.0,80.85,103.54,97.85,86.23,104.46,121.77,105.0,150.92,96.85,120.23
13.0,80.0,102.86,98.29,87.14,105.5,122.07,106.07,153.29,96.57,120.71
14.0,79.27,102.53,98.6,87.93,106.47,122.4,107.13,154.8,96.4,121.2
15.0,78.62,101.88,98.94,88.75,107.25,122.81,108.06,155.94,93.56,122.06
16.0,78.06,101.35,99.24,89.59,107.94,123.29,109.0,156.47,95.35,122.94
17.0,77.5,100.94,99.11,90.11,108.61,123.78,109.78,156.94,97.28,123.78
18.0,77.21,100.53,98.84,90.63,109.11,124.21,110.42,157.37,99.26,124.53
19.0,77.35,100.2,98.55,91.15,109.4,124.55,110.9,157.8,100.95,126.35
20.0,77.67,99.9,98.33,91.48,109.81,124.76,111.29,158.14,102.71,127.48
21.0,77.86,99.86,99.36,91.91,110.14,124.91,111.64,158.5,104.23,128.5
22.0,78.3,99.78,103.3,92.43,110.35,124.91,112.0,158.83,105.52,129.35
23.0,78.92,99.71,106.92,93.04,110.96,124.96,112.17,159.12,106.83,130.08
24.0,79.72,99.64,111.12,93.64,111.52,124.96,112.24,159.44,108.08,130.76
25.0,80.42,100.23,113.96,94.12,112.0,124.96,112.35,159.73,108.31,131.46
26.0,81.07,99.07,111.56,94.59,112.63,124.96,112.44,159.89,108.56,132.11
27.0,81.68,100.14,112.82,95.07,113.11,125.04,112.57,160.07,108.79,133.46
28.0,82.21,100.9,110.59,95.52,113.59,125.07,112.66,160.31,109.0,135.07
29.0,82.73,101.53,111.67,95.93,114.0,125.0,112.77,160.53,109.3,136.57
30.0,83.16,102.13,109.65,96.39,114.35,124.94,112.71,160.74,109.61,137.94
31.0,82.31,103.19,110.5,96.78,114.69,124.97,112.78,161.0,109.94,139.09
32.0,82.58,104.18,112.15,97.36,114.91,124.88,112.91,161.24,110.24,140.15
33.0,81.76,106.79,113.68,97.91,115.03,124.91,113.06,161.44,110.85,141.15
34.0,82.06,109.23,115.14,98.37,115.11,124.74,113.2,161.8,111.46,142.06
35.0,81.22,111.56,117.75,98.81,115.22,124.56,113.36,162.06,110.47,142.5
36.0,81.76,113.78,119.03,99.19,115.35,123.78,113.51,162.3,110.54,142.84
37.0,83.0,115.79,120.24,99.26,114.74,122.95,113.68,162.08,111.26,142.76
38.0,84.15,117.69,120.28,99.31,114.15,122.18,113.77,161.95,111.9,142.67
39.0,85.25,119.45,120.3,99.2,113.55,121.38,113.95,161.82,112.53,142.55
40.0,86.22,121.15,120.32,99.02,113.05,120.61,114.1,161.73,113.17,142.46
41.0,87.02,122.74,122.12,98.9,112.38,119.83,114.29,161.6,113.76,142.36
42.0,87.72,124.14,124.12,98.79,111.79,118.88,114.47,161.53,114.35,142.23
43.0,88.43,125.45,126.02,98.64,111.16,117.93,114.68,161.48,114.93,142.16
44.0,89.09,126.71,127.87,98.6,110.49,117.04,114.93,161.38,114.93,142.04
45.0,89.72,127.96,129.65,98.93,109.76,116.3,115.2,161.0,114.46,141.93
46.0,90.32,129.15,131.36,99.28,109.09,115.6,115.45,160.72,114.06,141.28
47.0,90.9,130.31,132.98,99.52,108.54,114.92,115.6,160.44,113.67,139.92
48.0,91.45,131.45,134.51,99.67,108.02,114.27,115.59,160.2,112.51,139.22
49.0,91.98,132.56,135.98,99.84,107.58,113.66,115.54,160.0,112.54,137.96
50.0,92.47,133.63,137.43,99.98,107.29,113.16,115.51,159.8,112.27,137.59
51.0,93.12,134.69,138.38,100.08,107.17,112.85,115.48,159.62,112.06,136.4
52.0,94.08,135.68,139.0,100.17,107.11,112.55,115.43,159.43,111.87,136.23
53.0,95.0,136.61,139.57,100.24,107.06,112.24,115.44,159.26,111.7,135.41
54.0,96.93,137.47,140.15,101.04,107.0,111.98,115.22,159.07,110.73,134.53
55.0,98.73,138.3,139.36,101.8,106.96,111.66,115.02,158.91,111.05,134.96
56.0,100.54,139.09,138.61,102.86,106.98,111.39,114.84,158.7,110.96,135.63
57.0,101.31,139.84,137.9,104.53,106.97,111.07,114.69,158.47,110.86,136.41
58.0,102.02,140.88,137.2,106.25,106.93,110.76,114.53,158.19,110.78,137.69
59.0,102.68,141.87,136.53,107.88,106.87,110.5,114.35,157.92,110.7,138.93
60.0,103.43,143.65,136.58,110.07,107.22,110.18,115.1,158.67,110.62,140.4
61.0,104.93,145.22,137.22,112.08,107.45,110.67,115.2,159.92,111.5,142.33
62.0,105.43,146.32,137.1,114.05,107.65,110.17,116.18,160.57,111.45,143.73
63.0,106.85,145.68,136.82,116.03,107.98,109.02,116.15,161.95,112.13,146.2
64.0,106.97,146.28,137.67,117.88,107.82,108.63,116.95,162.4,111.72,147.3
65.0,108.32,147.03,137.42,119.83,108.15,108.28,116.95,161.37,112.07,148.8
66.0,108.47,147.72,136.88,121.73,108.03,107.92,116.9,160.82,112.4,150.3
67.0,108.85,148.4,137.4,123.57,107.8,107.58,116.82,160.28,112.95,151.82
68.0,109.8,149.1,136.67,125.52,107.58,107.25,116.75,159.75,113.43,153.28
69.0,112.07,149.8,137.25,127.5,107.15,106.92,116.68,159.02,114.2,154.78
70.0,114.22,150.55,136.77,129.58,106.68,106.58,116.68,158.33,113.15,156.23
71.0,116.37,151.2,137.13,131.18,106.22,106.23,116.68,157.67,113.65,157.68
72.0,118.5,151.88,136.58,132.88,105.73,105.83,116.85,156.97,114.32,159.07
73.0,119.23,152.57,136.92,134.35,105.27,105.55,117.02,156.27,113.97,160.47
74.0,119.95,153.25,136.6,135.8,104.77,105.28,117.05,155.67,114.18,161.83
75.0,120.53,154.03,137.15,137.22,104.23,104.9,117.08,155.13,114.47,161.08
76.0,121.77,154.43,137.48,139.0,103.7,105.08,117.1,154.72,114.22,160.3
77.0,123.02,154.83,137.23,140.82,103.1,105.23,117.3,154.12,113.18,159.5
78.0,124.2,155.4,137.75,142.6,102.55,105.38,117.52,153.52,112.78,159.82
79.0,126.17,155.28,137.65,144.37,102.62,106.0,117.82,152.88,111.7,159.75
80.0,128.07,155.02,138.02,145.23,102.15,106.85,118.18,152.27,111.45,159.88
81.0,129.13,154.65,137.45,146.03,101.73,107.72,118.48,151.62,110.33,160.02
82.0,130.97,154.28,136.4,146.78,101.38,108.67,119.05,150.98,110.32,159.93
83.0,132.73,153.9,134.68,147.48,101.8,109.6,119.82,150.37,111.48,159.9
84.0,134.38,153.58,133.17,148.13,102.25,110.55,120.68,149.75,112.15,159.87
85.0,136.07,153.1,131.22,148.8,102.72,111.47,121.55,149.13,113.25,159.82
86.0,137.78,153.37,132.45,149.43,103.1,112.5,122.4,148.55,113.92,159.65
87.0,139.43,152.65,131.15,149.8,103.53,113.6,123.2,147.93,114.7,159.85
88.0,140.87,152.08,132.7,150.2,103.93,114.72,124.1,147.35,115.42,159.85
89.0,142.48,151.55,133.18,150.6,104.82,115.87,125.03,146.77,116.17,160.33
90.0,143.98,151.02,135.23,150.97,105.73,117.02,126.05,146.17,116.92,160.8
91.0,146.17,150.15,135.83,151.68,106.65,118.12,126.83,145.53,117.63,161.33
92.0,147.15,149.23,136.15,152.03,107.62,119.33,127.57,144.92,118.35,161.93
93.0,148.62,147.45,136.6,152.4,108.63,120.52,128.3,144.3,118.88,162.52
94.0,149.42,145.75,137.07,152.8,107.93,121.82,129.03,143.52,119.03,163.12
95.0,150.88,144.17,136.67,153.25,107.23,123.1,129.8,142.77,120.12,163.97
96.0,151.53,142.55,137.17,153.87,106.38,124.75,130.57,142.07,120.58,164.88
97.0,151.72,141.03,137.67,154.67,106.02,126.47,131.32,141.68,120.62,165.47
98.0,151.95,139.5,138.88,155.48,105.62,128.18,132.12,141.22,120.68,166.08
99.0,152.2,137.98,140.23,156.4,105.3,129.77,132.87,140.75,120.65,166.72
100.0,152.37,136.47,141.58,157.33,104.95,131.37,133.67,140.25,120.6,167.33
101.0,152.57,134.98,141.68,158.23,104.75,132.78,134.42,139.78,120.58,167.93
102.0,152.82,133.6,141.58,159.12,105.0,134.35,135.25,139.3,120.55,168.58
103.0,153.02,132.25,141.5,160.08,105.15,136.0,136.08,138.82,120.03,169.2
104.0,153.25,130.92,141.42,160.97,105.37,137.7,136.88,138.35,119.95,169.9
105.0,153.48,129.57,141.35,161.57,105.65,139.35,137.27,138.12,119.62,170.62
106.0,153.72,128.27,141.27,162.15,106.7,141.0,137.68,137.9,120.43,171.77
107.0,153.95,126.93,141.28,162.8,108.05,142.65,138.17,137.73,120.05,173.5
108.0,154.2,125.58,141.3,163.6,109.42,144.32,138.8,137.55,121.58,174.73
109.0,154.42,124.22,141.37,164.37,110.73,146.03,139.67,137.37,122.23,176.52
110.0,154.68,122.87,141.4,165.13,111.93,147.68,140.27,137.17,121.57,177.57
111.0,154.8,121.52,141.83,165.77,112.95,149.22,140.87,136.95,122.42,179.3
112.0,154.53,120.2,142.0,166.43,113.9,150.77,141.52,136.77,122.33,180.17
113.0,154.2,118.92,141.7,167.08,114.88,152.33,142.15,136.58,122.25,181.63
114.0,153.6,117.65,141.37,167.1,115.87,153.72,142.97,136.43,122.93,183.22
115.0,153.05,116.83,142.27,167.17,116.85,155.03,143.77,136.27,122.4,183.6
116.0,152.6,116.05,143.17,166.88,117.73,156.33,144.53,136.15,122.25,183.73
117.0,153.1,115.25,143.92,165.95,118.68,157.7,145.4,136.22,122.15,183.72
